temp,energy
0.000100,-19730.000000
0.008116,-19436.000000
0.016132,-19729.015010
0.024147,-19438.268363
0.032163,-19600.000000
0.040179,-19371.250473
0.048195,-19524.276203
0.056211,-19666.000000
0.064227,-19596.000000
0.072242,-19615.626076
0.080258,-19440.000000
0.088274,-19719.539715
0.096290,-19478.000000
0.104306,-19555.479875
0.112322,-19500.000000
0.120337,-19800.000000
0.128353,-19527.658637
0.136369,-19340.024580
0.144385,-19579.124711
0.152401,-19434.956510
0.160417,-19609.233192
0.168432,-19800.000000
0.176448,-19424.059181
0.184464,-19800.000000
0.192480,-19381.698137
0.200496,-19580.000000
0.208512,-19398.000000
0.216527,-19544.613666
0.224543,-19540.000000
0.232559,-19439.333413
0.240575,-19374.446524
0.248591,-19469.280133
0.256607,-19594.000000
0.264622,-19422.886009
0.272638,-19800.000000
0.280654,-19412.000000
0.288670,-19588.000000
0.296686,-19340.611566
0.304702,-19550.000000
0.312717,-19495.390474
0.320733,-19750.000000
0.328749,-19591.696877
0.336765,-19562.000000
0.344781,-19732.000000
0.352797,-19550.000000
0.360812,-19568.000000
0.368828,-19484.401144
0.376844,-19501.674237
0.384860,-19628.000000
0.392876,-19280.000000
0.400892,-19472.000000
0.408907,-19564.000000
0.416923,-19430.000000
0.424939,-19414.000000
0.432955,-19348.760868
0.440971,-19596.967750
0.448987,-19586.000000
0.457002,-19719.217492
0.465018,-19743.983540
0.473034,-19640.000000
0.481050,-19686.000000
0.489066,-19414.895149
0.497082,-19454.000000
0.505097,-19321.510515
0.513113,-19737.075831
0.521129,-19604.000000
0.529145,-19447.618256
0.537161,-19522.969950
0.545177,-19493.242472
0.553192,-19585.921539
0.561208,-19800.000000
0.569224,-19574.000000
0.577240,-19543.507555
0.585256,-19332.670067
0.593272,-19691.561516
0.601287,-19461.749157
0.609303,-19511.766418
0.617319,-19498.612706
0.625335,-19468.761548
0.633351,-19580.183642
0.641367,-19567.188992
0.649382,-19353.866459
0.657398,-19403.401914
0.665414,-19724.617566
0.673430,-19620.142001
0.681446,-19582.733027
0.689462,-19342.964030
0.697477,-19503.789058
0.705493,-19463.626676
0.713509,-19411.481135
0.721525,-19469.276293
0.729541,-19368.551066
0.737557,-19517.978800
0.745572,-19473.809078
0.753588,-19302.394604
0.761604,-19586.764348
0.769620,-19596.344183
0.777636,-19464.450705
0.785652,-19328.224802
0.793667,-19469.441674
0.801683,-19325.597436
0.809699,-19249.608116
0.817715,-19551.459415
0.825731,-19527.790298
0.833746,-19406.943089
0.841762,-19406.880909
0.849778,-19378.190162
0.857794,-19397.789158
0.865810,-19547.429574
0.873826,-19447.643496
0.881841,-19504.684187
0.889857,-19493.795238
0.897873,-19584.054661
0.905889,-19471.008770
0.913905,-19537.075131
0.921921,-19611.959380
0.929936,-19560.096981
0.937952,-19302.577306
0.945968,-19508.507825
0.953984,-19696.798428
0.962000,-19351.730157
0.970016,-19377.905859
0.978031,-19504.106101
0.986047,-19388.716287
0.994063,-19474.533785
1.002079,-19523.753338
1.010095,-19506.305663
1.018111,-19104.851209
1.026126,-19436.255943
1.034142,-19531.545955
1.042158,-19264.668507
1.050174,-19485.102931
1.058190,-19757.987640
1.066206,-19387.644616
1.074221,-19494.021420
1.082237,-19618.088081
1.090253,-19358.522945
1.098269,-19460.027880
1.106285,-19253.168372
1.114301,-19407.282673
1.122316,-19226.943069
1.130332,-19193.346993
1.138348,-19443.477775
1.146364,-19049.471035
1.154380,-19630.999930
1.162396,-19269.843478
1.170411,-19220.143201
1.178427,-19293.575416
1.186443,-19371.767798
1.194459,-19329.991260
1.202475,-19364.645106
1.210491,-19332.132321
1.218506,-19089.832418
1.226522,-19082.284843
1.234538,-19365.934679
1.242554,-19462.457625
1.250570,-19237.768378
1.258586,-19195.293573
1.266601,-19325.442994
1.274617,-19205.558896
1.282633,-19407.265193
1.290649,-19110.112281
1.298665,-19386.314563
1.306681,-19218.904249
1.314696,-19099.573636
1.322712,-19206.382104
1.330728,-18926.547245
1.338744,-19285.862539
1.346760,-19068.889709
1.354776,-18896.143841
1.362791,-19281.210232
1.370807,-19146.219042
1.378823,-19514.345883
1.386839,-18768.924289
1.394855,-19178.646786
1.402871,-18969.539095
1.410886,-18966.739227
1.418902,-18847.680417
1.426918,-19088.747107
1.434934,-18832.670207
1.442950,-19080.864509
1.450966,-18933.622676
1.458981,-18867.769578
1.466997,-18981.600096
1.475013,-18891.900639
1.483029,-18667.594556
1.491045,-19013.335053
1.499061,-19011.459835
1.507076,-18800.722307
1.515092,-18939.979220
1.523108,-18630.944049
1.531124,-18833.737257
1.539140,-18600.344023
1.547156,-18557.383014
1.555171,-18900.392604
1.563187,-19031.499835
1.571203,-18839.778418
1.579219,-18651.606796
1.587235,-18739.098031
1.595251,-18555.102291
1.603266,-18636.894489
1.611282,-18487.124851
1.619298,-18754.766248
1.627314,-18453.110611
1.635330,-18507.643236
1.643345,-18425.873179
1.651361,-18384.228902
1.659377,-18388.795548
1.667393,-18473.077471
1.675409,-18229.505415
1.683425,-18464.056121
1.691440,-18323.194052
1.699456,-18593.612616
1.707472,-18358.033060
1.715488,-18183.421814
1.723504,-18271.958600
1.731520,-17993.203192
1.739535,-18417.975280
1.747551,-18210.879269
1.755567,-17878.310323
1.763583,-17617.564196
1.771599,-18173.231432
1.779615,-18097.132971
1.787630,-17915.119251
1.795646,-17732.094381
1.803662,-17832.455065
1.811678,-17828.055201
1.819694,-17611.551576
1.827710,-17580.941269
1.835725,-17741.075451
1.843741,-17711.158712
1.851757,-17975.511595
1.859773,-17359.330773
1.867789,-17637.198012
1.875805,-17268.296683
1.883820,-17619.084891
1.891836,-17327.548715
1.899852,-17476.158482
1.907868,-17263.163352
1.915884,-17508.931829
1.923900,-17105.061091
1.931915,-17340.448304
1.939931,-16916.001980
1.947947,-17085.532675
1.955963,-16824.179542
1.963979,-17007.913559
1.971995,-17146.200202
1.980010,-17369.131911
1.988026,-16852.614766
1.996042,-16800.809028
2.004058,-16780.218362
2.012074,-16297.253693
2.020090,-17036.489425
2.028105,-16406.207622
2.036121,-16709.984900
2.044137,-16251.723457
2.052153,-16708.811088
2.060169,-16000.524645
2.068185,-16226.568486
2.076200,-16377.585976
2.084216,-16451.737777
2.092232,-15870.183862
2.100248,-15748.671447
2.108264,-15842.585066
2.116280,-15536.141741
2.124295,-16134.035440
2.132311,-15576.952590
2.140327,-15336.292163
2.148343,-15273.788398
2.156359,-15340.197502
2.164375,-15008.191042
2.172390,-15206.236162
2.180406,-15067.067851
2.188422,-14841.968000
2.196438,-14937.553656
2.204454,-14647.099391
2.212470,-15072.242062
2.220485,-14495.065571
2.228501,-14724.888709
2.236517,-14802.514585
2.244533,-14832.373204
2.252549,-13928.294543
2.260565,-13894.213662
2.268580,-13921.569636
2.276596,-13772.094081
2.284612,-13346.941509
2.292628,-13311.459495
2.300644,-13541.674957
2.308660,-13604.421144
2.316675,-13320.099241
2.324691,-12971.080931
2.332707,-13057.468775
2.340723,-12787.641696
2.348739,-12844.824688
2.356755,-12426.564086
2.364770,-12738.680647
2.372786,-12574.385124
2.380802,-12521.442594
2.388818,-12274.642706
2.396834,-12198.375884
2.404849,-12222.564306
2.412865,-12295.179472
2.420881,-11684.580766
2.428897,-11658.541485
2.436913,-11850.442544
2.444929,-11817.856799
2.452944,-11872.168722
2.460960,-11699.357894
2.468976,-11176.775388
2.476992,-11215.849198
2.485008,-11251.573596
2.493024,-11161.140351
2.501039,-11489.864319
2.509055,-11286.932329
2.517071,-11413.423694
2.525087,-11029.047650
2.533103,-11103.459915
2.541119,-10786.781068
2.549134,-10867.604716
2.557150,-10938.775968
2.565166,-10486.854489
2.573182,-10437.717777
2.581198,-10724.799428
2.589214,-10372.242522
2.597229,-10476.130901
2.605245,-10563.755738
2.613261,-10278.316683
2.621277,-10265.457915
2.629293,-10158.604126
2.637309,-9994.395204
2.645324,-9953.458635
2.653340,-10067.089131
2.661356,-9952.682107
2.669372,-9828.093801
2.677388,-9935.247492
2.685404,-9766.296683
2.693419,-9561.153092
2.701435,-9861.467355
2.709451,-9846.201382
2.717467,-9737.119451
2.725483,-9455.660377
2.733499,-9456.151922
2.741514,-9614.667267
2.749530,-9548.400704
2.757546,-9412.196562
2.765562,-9413.898719
2.773578,-9219.877159
2.781594,-9278.430284
2.789609,-9411.891939
2.797625,-9226.180682
2.805641,-9307.443394
2.813657,-9132.037460
2.821673,-8985.480335
2.829689,-8954.582186
2.837704,-8900.625026
2.845720,-9137.190972
2.853736,-9085.757578
2.861752,-8870.295663
2.869768,-9010.701007
2.877784,-8811.101851
2.885799,-8908.004460
2.893815,-8668.817828
2.901831,-8931.149631
2.909847,-8712.254943
2.917863,-8633.996940
2.925879,-8647.817358
2.933894,-8511.930539
2.941910,-8463.677157
2.949926,-8568.173742
2.957942,-8431.603476
2.965958,-8472.798048
2.973974,-8323.700677
2.981989,-8314.145681
2.990005,-8180.069941
2.998021,-8236.357844
3.006037,-8053.412434
3.014053,-8552.101141
3.022069,-8155.739517
3.030084,-8174.376484
3.038100,-8006.739647
3.046116,-8063.881099
3.054132,-8038.030680
3.062148,-8227.219312
3.070164,-8048.312563
3.078179,-7934.721487
3.086195,-7962.506245
3.094211,-8072.352364
3.102227,-7839.404514
3.110243,-7870.793988
3.118259,-7779.223432
3.126274,-7669.640156
3.134290,-7650.494825
3.142306,-7744.934969
3.150322,-7592.835248
3.158338,-7568.401604
3.166354,-7611.888519
3.174369,-7492.207542
3.182385,-7686.763008
3.190401,-7492.425484
3.198417,-7618.696147
3.206433,-7543.102611
3.214448,-7589.209172
3.222464,-7472.621006
3.230480,-7441.586776
3.238496,-7305.970560
3.246512,-7363.871859
3.254528,-7208.921229
3.262543,-7303.197272
3.270559,-7395.957060
3.278575,-7295.521755
3.286591,-7273.264493
3.294607,-7219.228372
3.302623,-7208.696427
3.310638,-7163.086771
3.318654,-7128.453745
3.326670,-7010.960730
3.334686,-6991.532815
3.342702,-7079.233632
3.350718,-6989.174772
3.358733,-6982.656527
3.366749,-6982.331523
3.374765,-7196.686487
3.382781,-7039.466115
3.390797,-6898.660667
3.398813,-6955.298993
3.406828,-7014.053881
3.414844,-6919.510155
3.422860,-6782.820628
3.430876,-6809.149151
3.438892,-6797.551036
3.446908,-6847.609856
3.454923,-6938.406184
3.462939,-6653.650977
3.470955,-6686.435864
3.478971,-6698.344843
3.486987,-6729.893399
3.495003,-6553.126731
3.503018,-6635.094351
3.511034,-6719.228092
3.519050,-6632.087581
3.527066,-6660.547805
3.535082,-6566.508885
3.543098,-6519.336893
3.551113,-6562.133261
3.559129,-6647.814218
3.567145,-6494.754888
3.575161,-6660.160002
3.583177,-6340.874789
3.591193,-6450.133021
3.599208,-6471.955120
3.607224,-6532.649126
3.615240,-6437.979560
3.623256,-6344.530165
3.631272,-6502.172102
3.639288,-6304.022940
3.647303,-6270.871589
3.655319,-6477.443674
3.663335,-6422.224662
3.671351,-6448.704607
3.679367,-6464.591586
3.687383,-6167.301293
3.695398,-6295.866379
3.703414,-6167.354334
3.711430,-6216.039400
3.719446,-6158.383184
3.727462,-6144.101441
3.735478,-6194.715387
3.743493,-6062.451265
3.751509,-5994.898069
3.759525,-5998.151722
3.767541,-6116.293683
3.775557,-6045.316153
3.783573,-6063.345033
3.791588,-6066.848128
3.799604,-5958.431624
3.807620,-5989.510115
3.815636,-6084.071661
3.823652,-5934.665247
3.831668,-6032.627706
3.839683,-5966.771608
3.847699,-5899.433534
3.855715,-5936.414504
3.863731,-5912.687207
3.871747,-5981.963000
3.879763,-5879.902719
3.887778,-5821.920259
3.895794,-5752.278823
3.903810,-5855.676097
3.911826,-5868.289783
3.919842,-5860.682947
3.927858,-5766.104141
3.935873,-5719.342133
3.943889,-5766.464385
3.951905,-5741.144171
3.959921,-5739.938519
3.967937,-5745.928419
3.975953,-5784.036260
3.983968,-5754.386724
3.991984,-5598.525425
4.000000,-5712.359824
